State,Avg Daily Distance(Km),Avg Daily Distance levels(Km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Engin Capacity Groups,Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
Madhya Pradesh,50.73,High Usage,Yamaha,Ray ZR,"$218,027.00 ",2017,517,501-1000 cc,Petrol,28.56,First,2017,Expired,Dealer,"$116,744.22 ",Tier 2
Maharashtra,41.74,High Usage,KTM,250 Duke,"$234,741.00 ",2016,517,501-1000 cc,Petrol,38.74,First,2016,Active,Dealer,"$114,261.56 ",Tier 1
Uttar Pradesh,30.41,Moderate Usage,Kawasaki,Vulcan S,"$125,574.00 ",2019,517,501-1000 cc,Electric,62.77,Second,2020,Not Available,Individual,"$86,141.89 ",Metro
Punjab,14.96,Lower Usage,KTM,250 Duke,"$380,372.00 ",2016,517,501-1000 cc,Electric,68.44,First,2016,Active,Individual,"$255,110.91 ",Metro
Rajasthan,73.76,High Usage,Honda,Dio,"$282,632.00 ",2016,517,501-1000 cc,Hybrid,78.05,First,2016,Not Available,Individual,"$199,121.97 ",Metro
Punjab,41.52,High Usage,Bajaj,CT 100,"$291,806.00 ",2015,517,501-1000 cc,Hybrid,89.5,First,2015,Not Available,Individual,"$187,276.82 ",Tier 3
Uttar Pradesh,5.63,Lower Usage,Bajaj,Platina 110,"$288,444.00 ",2023,517,501-1000 cc,Electric,90.87,Third,2024,Not Available,Individual,"$149,964.30 ",Metro
West Bengal,35.87,Moderate Usage,Bajaj,Platina 110,"$56,417.00 ",2017,517,501-1000 cc,Electric,90.94,Third,2021,Expired,Individual,"$25,499.93 ",Tier 1
Punjab,59.97,High Usage,TVS,Apache RTR 160,"$291,212.00 ",2020,517,501-1000 cc,Hybrid,91.36,Second,2020,Expired,Dealer,"$170,701.81 ",Metro
Uttar Pradesh,49.03,High Usage,KTM,390 Adventure,"$199,321.00 ",2016,518,501-1000 cc,Petrol,42.32,First,2016,Active,Individual,"$92,066.68 ",Tier 3
Rajasthan,15.53,Lower Usage,Hero,HF Deluxe,"$313,855.00 ",2022,518,501-1000 cc,Electric,67.05,First,2022,Active,Individual,"$249,975.03 ",Tier 2
Tamil Nadu,75.34,High Usage,KTM,390 Adventure,"$324,929.00 ",2017,518,501-1000 cc,Electric,77.26,First,2017,Expired,Individual,"$148,627.29 ",Tier 2
Delhi,66.06,High Usage,Hero,Glamour,"$226,406.00 ",2021,518,501-1000 cc,Hybrid,80.88,Third,2024,Expired,Dealer,"$162,158.14 ",Metro
Rajasthan,43.12,High Usage,Royal Enfield,Himalayan,"$288,338.00 ",2021,518,501-1000 cc,Electric,84.52,Second,2024,Not Available,Dealer,"$183,713.31 ",Tier 2
Maharashtra,73.84,High Usage,Bajaj,Avenger 220,"$363,217.00 ",2017,518,501-1000 cc,Electric,86.9,First,2017,Not Available,Individual,"$196,674.92 ",Tier 1
Tamil Nadu,49.02,High Usage,Bajaj,Platina 110,"$314,250.00 ",2016,518,501-1000 cc,Hybrid,89.94,Third,2017,Expired,Individual,"$213,634.55 ",Tier 3
Punjab,51.21,High Usage,TVS,NTorq 125,"$80,448.00 ",2015,518,501-1000 cc,Hybrid,99.02,Second,2023,Not Available,Dealer,"$64,141.03 ",Metro
Delhi,17.43,Lower Usage,KTM,250 Duke,"$276,058.00 ",2018,519,501-1000 cc,Petrol,28.62,Second,2022,Active,Dealer,"$187,403.58 ",Metro
Maharashtra,19.62,Lower Usage,Bajaj,CT 100,"$135,697.00 ",2020,519,501-1000 cc,Petrol,30.18,Second,2020,Expired,Individual,"$57,333.52 ",Tier 1
Karnataka,41.66,High Usage,TVS,Ronin,"$192,201.00 ",2020,519,501-1000 cc,Petrol,31.29,Second,2021,Expired,Dealer,"$127,688.63 ",Tier 1
West Bengal,38.2,Moderate Usage,Yamaha,Fascino 125,"$196,186.00 ",2023,519,501-1000 cc,Petrol,35.81,First,2023,Active,Dealer,"$83,122.39 ",Metro
Maharashtra,39.58,Moderate Usage,Kawasaki,Z650,"$247,025.00 ",2016,519,501-1000 cc,Petrol,36.43,First,2016,Not Available,Individual,"$189,397.53 ",Tier 2
Gujarat,41.34,High Usage,Bajaj,Dominar 400,"$334,036.00 ",2021,519,501-1000 cc,Petrol,38.62,Third,2024,Not Available,Dealer,"$229,831.41 ",Metro
Punjab,56.72,High Usage,KTM,390 Adventure,"$51,911.00 ",2021,519,501-1000 cc,Petrol,47.68,Second,2022,Expired,Individual,"$29,643.72 ",Tier 1
Rajasthan,52.78,High Usage,Hero,Passion Pro,"$113,756.00 ",2024,519,501-1000 cc,Petrol,55.79,Third,2024,Not Available,Individual,"$83,582.84 ",Tier 2
West Bengal,33.54,Moderate Usage,TVS,NTorq 125,"$188,250.00 ",2024,519,501-1000 cc,Electric,60.66,Second,2024,Not Available,Individual,"$77,958.01 ",Tier 3
Gujarat,29.65,Moderate Usage,Honda,Unicorn,"$225,407.00 ",2018,519,501-1000 cc,Electric,61.19,First,2018,Not Available,Dealer,"$105,306.59 ",Tier 3
Maharashtra,62.11,High Usage,Bajaj,Pulsar 150,"$102,023.00 ",2022,519,501-1000 cc,Electric,70.04,Second,2022,Expired,Dealer,"$79,922.78 ",Tier 2
Punjab,31.52,Moderate Usage,Honda,Shine,"$170,040.00 ",2017,519,501-1000 cc,Electric,71.84,Second,2019,Active,Dealer,"$133,869.35 ",Metro
Uttar Pradesh,29.18,Moderate Usage,Honda,CBR 650R,"$100,070.00 ",2019,519,501-1000 cc,Hybrid,73.66,First,2019,Not Available,Dealer,"$63,109.68 ",Tier 1
Karnataka,54.84,High Usage,Royal Enfield,Himalayan,"$156,623.00 ",2022,519,501-1000 cc,Electric,80.11,Second,2022,Expired,Individual,"$85,731.86 ",Tier 3
Uttar Pradesh,8.34,Lower Usage,KTM,390 Adventure,"$87,754.00 ",2024,519,501-1000 cc,Electric,90.8,First,2024,Active,Individual,"$61,093.34 ",Tier 2
Rajasthan,70.7,High Usage,Royal Enfield,Himalayan,"$124,119.00 ",2021,519,501-1000 cc,Hybrid,92.06,Third,2021,Not Available,Dealer,"$64,972.11 ",Tier 2
Karnataka,9.69,Lower Usage,Yamaha,MT-15,"$248,174.00 ",2021,519,501-1000 cc,Electric,93.73,Third,2024,Expired,Dealer,"$189,255.23 ",Tier 3
Karnataka,20.68,Lower Usage,Royal Enfield,Hunter 350,"$398,805.00 ",2017,520,501-1000 cc,Petrol,32.83,Second,2023,Expired,Dealer,"$255,834.13 ",Metro
Maharashtra,38.46,Moderate Usage,Yamaha,FZ V3,"$219,420.00 ",2015,520,501-1000 cc,Petrol,33.49,Second,2015,Active,Dealer,"$123,518.34 ",Metro
Rajasthan,74.02,High Usage,Yamaha,MT-15,"$316,817.00 ",2016,520,501-1000 cc,Petrol,34.95,Second,2024,Not Available,Individual,"$218,452.41 ",Metro
Punjab,38.23,Moderate Usage,Yamaha,FZ V3,"$188,824.00 ",2024,520,501-1000 cc,Petrol,40.88,Third,2024,Not Available,Individual,"$78,415.97 ",Tier 1
Punjab,22.75,Moderate Usage,TVS,Apache RTR 160,"$143,450.00 ",2024,520,501-1000 cc,Petrol,41.5,Third,2024,Expired,Dealer,"$64,269.41 ",Metro
Rajasthan,36.71,Moderate Usage,Honda,Dio,"$319,133.00 ",2019,520,501-1000 cc,Petrol,49.91,First,2019,Expired,Dealer,"$201,698.27 ",Tier 2
Rajasthan,65.77,High Usage,Yamaha,Fascino 125,"$72,309.00 ",2019,520,501-1000 cc,Petrol,53.14,First,2019,Not Available,Individual,"$52,519.90 ",Metro
Rajasthan,75.04,High Usage,KTM,RC 390,"$317,115.00 ",2017,520,501-1000 cc,Petrol,56.92,Third,2021,Expired,Dealer,"$185,629.82 ",Tier 3
West Bengal,16.71,Lower Usage,KTM,Duke 200,"$234,063.00 ",2017,520,501-1000 cc,Petrol,56.95,First,2017,Not Available,Dealer,"$144,805.47 ",Tier 1
Madhya Pradesh,48.37,High Usage,Kawasaki,Z650,"$186,231.00 ",2018,520,501-1000 cc,Petrol,57.43,Third,2020,Expired,Individual,"$89,485.74 ",Tier 3
Punjab,48.92,High Usage,TVS,Ronin,"$124,197.00 ",2017,520,501-1000 cc,Electric,64.32,Second,2017,Not Available,Individual,"$61,749.36 ",Tier 2
Delhi,17.65,Lower Usage,Royal Enfield,Hunter 350,"$232,311.00 ",2017,520,501-1000 cc,Electric,64.62,Second,2019,Active,Individual,"$116,769.39 ",Tier 2
Karnataka,75.61,High Usage,TVS,Ronin,"$291,701.00 ",2020,520,501-1000 cc,Hybrid,76.25,Third,2021,Expired,Individual,"$211,640.44 ",Tier 3
Madhya Pradesh,61.63,High Usage,Kawasaki,Ninja 300,"$333,809.00 ",2018,520,501-1000 cc,Electric,77.26,Third,2020,Active,Individual,"$187,146.68 ",Tier 3
Rajasthan,34.97,Moderate Usage,Bajaj,Avenger 220,"$387,229.00 ",2016,520,501-1000 cc,Hybrid,80.43,Third,2020,Not Available,Dealer,"$306,881.61 ",Tier 3
Madhya Pradesh,42.27,High Usage,Kawasaki,Ninja 300,"$127,122.00 ",2017,520,501-1000 cc,Electric,83.45,Third,2020,Not Available,Dealer,"$60,160.95 ",Metro
Delhi,42.12,High Usage,KTM,RC 390,"$126,995.00 ",2018,520,501-1000 cc,Hybrid,83.58,First,2018,Expired,Individual,"$97,951.56 ",Metro
Punjab,35.32,Moderate Usage,Bajaj,CT 100,"$178,049.00 ",2021,520,501-1000 cc,Hybrid,87.18,First,2021,Expired,Dealer,"$114,981.30 ",Tier 3
Maharashtra,40.26,Moderate Usage,Honda,Activa,"$278,177.00 ",2022,520,501-1000 cc,Hybrid,87.52,First,2022,Not Available,Individual,"$183,999.58 ",Tier 1
Madhya Pradesh,73.97,High Usage,Yamaha,Fascino 125,"$209,111.00 ",2024,520,501-1000 cc,Hybrid,99.54,Second,2024,Active,Dealer,"$89,354.12 ",Metro
Karnataka,68.8,High Usage,Yamaha,MT-15,"$280,636.00 ",2018,521,501-1000 cc,Petrol,58.56,Third,2019,Not Available,Individual,"$145,442.67 ",Tier 2
Madhya Pradesh,7.21,Lower Usage,Bajaj,CT 100,"$390,032.00 ",2015,521,501-1000 cc,Electric,70.91,Second,2022,Not Available,Dealer,"$156,689.11 ",Tier 2
Rajasthan,73.27,High Usage,TVS,NTorq 125,"$176,700.00 ",2020,521,501-1000 cc,Electric,72.95,First,2020,Not Available,Dealer,"$129,115.55 ",Tier 3
Maharashtra,48.14,High Usage,TVS,Jupiter,"$84,553.00 ",2019,521,501-1000 cc,Electric,74.98,First,2019,Active,Individual,"$56,111.67 ",Tier 2
Rajasthan,36.52,Moderate Usage,Bajaj,Avenger 220,"$320,385.00 ",2017,521,501-1000 cc,Hybrid,79.25,First,2017,Active,Individual,"$200,232.01 ",Tier 3
Punjab,52.14,High Usage,Honda,Unicorn,"$293,860.00 ",2022,521,501-1000 cc,Electric,79.55,First,2022,Expired,Individual,"$171,373.42 ",Metro
Madhya Pradesh,66.86,High Usage,Hero,Xtreme 160R,"$398,114.00 ",2016,521,501-1000 cc,Electric,80.34,Second,2018,Not Available,Individual,"$302,590.61 ",Tier 1
Madhya Pradesh,59.58,High Usage,Kawasaki,Versys 650,"$231,857.00 ",2019,522,501-1000 cc,Petrol,30.61,Second,2020,Not Available,Individual,"$174,775.44 ",Tier 3
Uttar Pradesh,16.2,Lower Usage,Yamaha,MT-15,"$178,874.00 ",2022,522,501-1000 cc,Petrol,35.01,Second,2022,Active,Individual,"$102,865.25 ",Tier 1
West Bengal,14.26,Lower Usage,KTM,390 Adventure,"$58,220.00 ",2016,522,501-1000 cc,Petrol,41.91,First,2016,Active,Dealer,"$23,373.32 ",Tier 3
Maharashtra,58.95,High Usage,Yamaha,R15 V4,"$67,760.00 ",2019,522,501-1000 cc,Petrol,47.3,Third,2022,Not Available,Dealer,"$53,063.69 ",Metro
Punjab,75.41,High Usage,Yamaha,Ray ZR,"$90,428.00 ",2021,522,501-1000 cc,Petrol,56.66,First,2021,Expired,Individual,"$49,726.92 ",Metro
Gujarat,31.04,Moderate Usage,TVS,Ronin,"$71,922.00 ",2021,522,501-1000 cc,Hybrid,66.8,Third,2023,Expired,Dealer,"$30,318.23 ",Tier 2
Uttar Pradesh,30.37,Moderate Usage,Kawasaki,Vulcan S,"$221,245.00 ",2021,522,501-1000 cc,Electric,68.27,Third,2024,Active,Dealer,"$172,375.86 ",Tier 2
West Bengal,55.51,High Usage,Honda,Unicorn,"$199,317.00 ",2016,522,501-1000 cc,Electric,71.55,First,2016,Expired,Individual,"$108,599.38 ",Tier 1
Tamil Nadu,13.54,Lower Usage,KTM,Duke 200,"$231,402.00 ",2016,522,501-1000 cc,Electric,91.57,Second,2019,Not Available,Dealer,"$170,698.73 ",Tier 2
Karnataka,35.49,Moderate Usage,Bajaj,CT 100,"$222,256.00 ",2019,523,501-1000 cc,Petrol,25.87,First,2019,Expired,Dealer,"$126,413.98 ",Tier 2
Tamil Nadu,41.67,High Usage,Yamaha,Fascino 125,"$368,672.00 ",2019,523,501-1000 cc,Petrol,26.81,Second,2020,Not Available,Individual,"$220,194.18 ",Tier 3
Rajasthan,54.22,High Usage,Honda,Unicorn,"$137,134.00 ",2015,523,501-1000 cc,Petrol,28.68,First,2015,Active,Individual,"$60,902.46 ",Metro
Madhya Pradesh,65.33,High Usage,Royal Enfield,Himalayan,"$256,186.00 ",2017,523,501-1000 cc,Petrol,58.44,First,2017,Expired,Dealer,"$188,239.52 ",Metro
West Bengal,13.64,Lower Usage,TVS,Ronin,"$85,196.00 ",2015,523,501-1000 cc,Electric,65.21,Third,2023,Expired,Dealer,"$47,220.41 ",Tier 1
Punjab,22.96,Moderate Usage,KTM,RC 390,"$178,356.00 ",2022,523,501-1000 cc,Hybrid,79.53,First,2022,Active,Individual,"$83,589.17 ",Metro
Karnataka,16.27,Lower Usage,TVS,Apache RTR 160,"$371,610.00 ",2018,523,501-1000 cc,Electric,79.77,Third,2024,Expired,Individual,"$285,084.03 ",Tier 2
Punjab,38.06,Moderate Usage,Bajaj,Platina 110,"$54,325.00 ",2015,523,501-1000 cc,Hybrid,85.24,Second,2017,Expired,Individual,"$38,395.63 ",Tier 2
Gujarat,75.98,High Usage,Hero,Glamour,"$302,699.00 ",2016,523,501-1000 cc,Electric,86.42,Third,2021,Expired,Dealer,"$202,309.70 ",Tier 2
West Bengal,72.64,High Usage,Honda,Activa,"$232,666.00 ",2023,524,501-1000 cc,Petrol,45.09,Third,2024,Expired,Dealer,"$146,929.85 ",Tier 2
Karnataka,62.42,High Usage,Kawasaki,Ninja 400,"$355,799.00 ",2020,524,501-1000 cc,Petrol,58.82,First,2020,Active,Dealer,"$231,081.82 ",Metro
West Bengal,69.39,High Usage,Royal Enfield,Interceptor 650,"$66,371.00 ",2015,524,501-1000 cc,Hybrid,73.95,Second,2021,Not Available,Individual,"$34,671.10 ",Tier 2
Gujarat,59.43,High Usage,Royal Enfield,Classic 350,"$176,793.00 ",2015,524,501-1000 cc,Electric,76.19,Third,2022,Not Available,Individual,"$113,762.36 ",Metro
Punjab,57.4,High Usage,KTM,Duke 200,"$309,863.00 ",2024,524,501-1000 cc,Electric,80.94,Third,2024,Not Available,Individual,"$208,735.94 ",Tier 1
Gujarat,36.69,Moderate Usage,TVS,Sport,"$274,285.00 ",2016,524,501-1000 cc,Hybrid,81.24,First,2016,Not Available,Individual,"$126,119.11 ",Tier 1
West Bengal,18.65,Lower Usage,Kawasaki,Versys 650,"$184,836.00 ",2023,524,501-1000 cc,Electric,91,Second,2024,Expired,Individual,"$140,729.09 ",Metro
Maharashtra,54.09,High Usage,Kawasaki,Versys 650,"$134,277.00 ",2016,524,501-1000 cc,Electric,94,Second,2017,Active,Individual,"$79,660.28 ",Tier 3
Punjab,27.25,Moderate Usage,Hero,Xtreme 160R,"$242,062.00 ",2019,524,501-1000 cc,Electric,99.66,Second,2021,Not Available,Individual,"$114,986.54 ",Metro
Uttar Pradesh,24.3,Moderate Usage,KTM,390 Adventure,"$311,753.00 ",2023,525,501-1000 cc,Petrol,27.65,Second,2024,Not Available,Dealer,"$198,185.74 ",Tier 3
Karnataka,53.12,High Usage,Kawasaki,Versys 650,"$376,677.00 ",2024,525,501-1000 cc,Petrol,49.57,Second,2024,Not Available,Dealer,"$181,967.68 ",Tier 2
Gujarat,41.1,High Usage,TVS,Ronin,"$105,084.00 ",2020,525,501-1000 cc,Hybrid,64.7,Second,2020,Expired,Dealer,"$65,817.87 ",Tier 1
Karnataka,52.59,High Usage,KTM,125 Duke,"$161,158.00 ",2015,525,501-1000 cc,Electric,72.27,Third,2024,Active,Dealer,"$90,653.91 ",Metro
Punjab,62.72,High Usage,KTM,125 Duke,"$269,208.00 ",2021,525,501-1000 cc,Hybrid,74.98,First,2021,Not Available,Individual,"$129,382.68 ",Tier 2
Rajasthan,19.29,Lower Usage,Kawasaki,Ninja 400,"$242,659.00 ",2017,525,501-1000 cc,Hybrid,80.54,Third,2017,Not Available,Dealer,"$119,314.67 ",Metro
Uttar Pradesh,22.09,Moderate Usage,Bajaj,Platina 110,"$356,938.00 ",2024,525,501-1000 cc,Electric,83.41,Third,2024,Not Available,Individual,"$234,916.56 ",Tier 3
Maharashtra,50.59,High Usage,Yamaha,FZ V3,"$371,840.00 ",2021,525,501-1000 cc,Hybrid,84.23,First,2021,Not Available,Dealer,"$177,145.87 ",Tier 1
Punjab,8.54,Lower Usage,KTM,Duke 200,"$345,749.00 ",2016,526,501-1000 cc,Petrol,28.84,First,2016,Expired,Dealer,"$181,175.57 ",Metro
Punjab,62.76,High Usage,Hero,Passion Pro,"$138,788.00 ",2023,526,501-1000 cc,Petrol,46.5,Third,2023,Active,Dealer,"$102,702.95 ",Tier 1
Rajasthan,57.39,High Usage,TVS,NTorq 125,"$214,668.00 ",2022,526,501-1000 cc,Petrol,50.91,First,2022,Not Available,Individual,"$93,401.88 ",Tier 1
Gujarat,47.74,High Usage,Hero,Splendor Plus,"$170,665.00 ",2015,526,501-1000 cc,Hybrid,71.37,First,2015,Expired,Individual,"$121,106.25 ",Tier 1
Gujarat,27.53,Moderate Usage,Royal Enfield,Classic 350,"$210,976.00 ",2019,526,501-1000 cc,Electric,72.95,Third,2024,Expired,Dealer,"$119,136.31 ",Tier 3
Karnataka,63.53,High Usage,Bajaj,Pulsar 150,"$250,113.00 ",2018,526,501-1000 cc,Electric,75.21,First,2018,Expired,Dealer,"$170,600.45 ",Tier 3
Rajasthan,78.34,High Usage,Kawasaki,Z650,"$270,013.00 ",2017,526,501-1000 cc,Electric,75.72,First,2017,Expired,Dealer,"$197,594.90 ",Tier 2
Gujarat,66.49,High Usage,Yamaha,FZ V3,"$392,499.00 ",2018,526,501-1000 cc,Electric,77.6,First,2018,Expired,Dealer,"$252,484.47 ",Tier 3
Delhi,18.01,Lower Usage,Royal Enfield,Classic 350,"$135,671.00 ",2020,526,501-1000 cc,Hybrid,79.21,Second,2024,Not Available,Dealer,"$88,105.68 ",Tier 1
Madhya Pradesh,52.29,High Usage,Yamaha,R15 V4,"$91,984.00 ",2019,526,501-1000 cc,Hybrid,80.39,Third,2020,Expired,Individual,"$37,749.25 ",Metro
Uttar Pradesh,34.94,Moderate Usage,Royal Enfield,Meteor 350,"$186,898.00 ",2016,526,501-1000 cc,Electric,86.81,Third,2019,Not Available,Dealer,"$104,232.55 ",Tier 2
Punjab,71.75,High Usage,Yamaha,R15 V4,"$137,436.00 ",2024,526,501-1000 cc,Hybrid,89.3,Second,2024,Expired,Dealer,"$67,194.51 ",Tier 2
Madhya Pradesh,33.13,Moderate Usage,Kawasaki,Ninja 400,"$211,598.00 ",2024,527,501-1000 cc,Petrol,41.69,First,2024,Expired,Individual,"$104,082.56 ",Metro
Gujarat,54.46,High Usage,Yamaha,FZ V3,"$211,854.00 ",2020,527,501-1000 cc,Petrol,54.17,Third,2022,Active,Individual,"$128,000.17 ",Metro
West Bengal,12.9,Lower Usage,Yamaha,Ray ZR,"$227,000.00 ",2022,527,501-1000 cc,Petrol,54.54,Third,2023,Expired,Dealer,"$140,772.20 ",Tier 1
Tamil Nadu,11.53,Lower Usage,Kawasaki,Versys 650,"$67,799.00 ",2015,527,501-1000 cc,Petrol,57.32,Second,2015,Not Available,Dealer,"$34,408.97 ",Metro
West Bengal,41.55,High Usage,TVS,NTorq 125,"$64,614.00 ",2018,527,501-1000 cc,Electric,60.21,Third,2018,Expired,Dealer,"$32,804.42 ",Tier 2
Uttar Pradesh,31.36,Moderate Usage,TVS,Jupiter,"$207,197.00 ",2016,527,501-1000 cc,Electric,75.91,First,2016,Not Available,Individual,"$109,581.90 ",Tier 1
Gujarat,68.57,High Usage,Yamaha,Ray ZR,"$93,907.00 ",2021,527,501-1000 cc,Electric,78.21,Second,2022,Not Available,Dealer,"$72,972.36 ",Tier 1
Karnataka,48.35,High Usage,Yamaha,R15 V4,"$141,220.00 ",2018,527,501-1000 cc,Hybrid,79.26,First,2018,Active,Dealer,"$66,643.97 ",Tier 2
Punjab,67.22,High Usage,KTM,125 Duke,"$114,907.00 ",2023,527,501-1000 cc,Hybrid,90.98,Second,2023,Active,Dealer,"$49,679.23 ",Metro
Punjab,18.76,Lower Usage,TVS,Apache RTR 160,"$268,969.00 ",2022,528,501-1000 cc,Petrol,46.32,Second,2022,Expired,Individual,"$170,249.43 ",Tier 3
Uttar Pradesh,52.06,High Usage,Kawasaki,Versys 650,"$178,206.00 ",2016,528,501-1000 cc,Petrol,48.66,First,2016,Active,Dealer,"$75,081.11 ",Metro
Uttar Pradesh,68.67,High Usage,Yamaha,Fascino 125,"$349,961.00 ",2024,528,501-1000 cc,Petrol,50.89,Second,2024,Not Available,Individual,"$254,859.74 ",Tier 3
Uttar Pradesh,47.63,High Usage,Yamaha,Ray ZR,"$356,884.00 ",2021,528,501-1000 cc,Petrol,56.99,Second,2023,Active,Individual,"$270,695.03 ",Metro
Punjab,53.12,High Usage,Royal Enfield,Classic 350,"$350,409.00 ",2015,528,501-1000 cc,Electric,60.26,First,2015,Expired,Individual,"$150,865.26 ",Tier 1
Karnataka,6.45,Lower Usage,Royal Enfield,Classic 350,"$97,504.00 ",2017,528,501-1000 cc,Hybrid,73.27,Third,2022,Active,Individual,"$52,666.00 ",Metro
Maharashtra,21.67,Moderate Usage,Yamaha,Ray ZR,"$245,454.00 ",2023,528,501-1000 cc,Electric,74.96,First,2023,Active,Individual,"$145,502.16 ",Tier 3
Gujarat,61.5,High Usage,KTM,RC 390,"$197,223.00 ",2016,528,501-1000 cc,Hybrid,77.76,Third,2023,Expired,Individual,"$136,100.09 ",Tier 3
Karnataka,43.44,High Usage,TVS,Apache RTR 160,"$237,239.00 ",2022,528,501-1000 cc,Hybrid,79.59,Third,2022,Expired,Individual,"$185,954.12 ",Tier 1
Delhi,23.51,Moderate Usage,KTM,125 Duke,"$141,846.00 ",2019,528,501-1000 cc,Hybrid,86.16,First,2019,Expired,Dealer,"$57,423.23 ",Metro
Maharashtra,62.39,High Usage,Hero,Glamour,"$114,688.00 ",2021,528,501-1000 cc,Electric,87.97,First,2021,Active,Dealer,"$72,426.47 ",Tier 1
Karnataka,33.28,Moderate Usage,Hero,Glamour,"$150,691.00 ",2018,528,501-1000 cc,Hybrid,91.34,Second,2019,Expired,Dealer,"$64,587.65 ",Tier 1
Tamil Nadu,65.09,High Usage,TVS,NTorq 125,"$131,264.00 ",2018,528,501-1000 cc,Hybrid,94.43,Third,2022,Active,Dealer,"$80,491.39 ",Tier 1
West Bengal,33.31,Moderate Usage,KTM,390 Adventure,"$313,223.00 ",2018,528,501-1000 cc,Electric,97.47,Second,2018,Active,Dealer,"$215,654.92 ",Tier 2
Tamil Nadu,42.39,High Usage,Honda,Activa,"$57,502.00 ",2017,529,501-1000 cc,Petrol,36.49,Second,2017,Expired,Individual,"$24,644.32 ",Tier 2
West Bengal,51.16,High Usage,Royal Enfield,Classic 350,"$323,583.00 ",2018,529,501-1000 cc,Petrol,41.68,Second,2018,Expired,Individual,"$142,139.85 ",Tier 3
Madhya Pradesh,6.2,Lower Usage,Honda,Shine,"$152,256.00 ",2018,529,501-1000 cc,Petrol,45.14,First,2018,Expired,Dealer,"$61,313.43 ",Metro
Punjab,69.08,High Usage,TVS,Ronin,"$310,935.00 ",2017,529,501-1000 cc,Petrol,45.99,Third,2018,Expired,Individual,"$133,495.05 ",Metro
Gujarat,20.43,Lower Usage,KTM,125 Duke,"$79,336.00 ",2023,529,501-1000 cc,Petrol,47.06,Second,2024,Expired,Individual,"$40,931.26 ",Metro
Delhi,78.61,High Usage,KTM,RC 390,"$221,778.00 ",2020,529,501-1000 cc,Petrol,53.86,First,2020,Active,Dealer,"$120,433.24 ",Tier 3
West Bengal,52.82,High Usage,KTM,Duke 200,"$91,710.00 ",2018,529,501-1000 cc,Electric,66.44,Third,2024,Not Available,Individual,"$65,269.25 ",Tier 3
Karnataka,69.11,High Usage,Hero,Passion Pro,"$191,662.00 ",2023,529,501-1000 cc,Hybrid,66.47,First,2023,Expired,Dealer,"$92,747.91 ",Tier 3
Uttar Pradesh,79.99,High Usage,Kawasaki,Ninja 400,"$390,684.00 ",2020,529,501-1000 cc,Hybrid,69,Second,2021,Expired,Dealer,"$230,644.65 ",Tier 2
Rajasthan,74.56,High Usage,TVS,Jupiter,"$117,301.00 ",2019,529,501-1000 cc,Electric,70.76,Third,2019,Not Available,Dealer,"$52,300.83 ",Tier 3
Rajasthan,44.72,High Usage,KTM,390 Adventure,"$283,576.00 ",2023,529,501-1000 cc,Electric,73.91,Third,2024,Expired,Individual,"$159,702.26 ",Tier 3
Maharashtra,74.16,High Usage,TVS,Sport,"$396,547.00 ",2021,529,501-1000 cc,Hybrid,75.77,First,2021,Expired,Dealer,"$239,395.82 ",Metro
Delhi,15.04,Lower Usage,KTM,Duke 200,"$146,504.00 ",2021,529,501-1000 cc,Electric,79.84,First,2021,Expired,Individual,"$96,749.47 ",Metro
Gujarat,53.78,High Usage,Honda,Unicorn,"$238,896.00 ",2018,530,501-1000 cc,Petrol,35.84,First,2018,Not Available,Dealer,"$96,952.68 ",Tier 1
Gujarat,26.69,Moderate Usage,Kawasaki,Vulcan S,"$136,622.00 ",2024,530,501-1000 cc,Petrol,37.18,First,2024,Active,Dealer,"$72,476.88 ",Metro
Maharashtra,56.7,High Usage,Kawasaki,Ninja 300,"$375,575.00 ",2015,530,501-1000 cc,Petrol,42.98,First,2015,Not Available,Dealer,"$291,922.32 ",Metro
Rajasthan,9.29,Lower Usage,Honda,Unicorn,"$51,310.00 ",2023,530,501-1000 cc,Petrol,44.29,First,2023,Active,Dealer,"$34,254.25 ",Tier 3
Tamil Nadu,20.21,Lower Usage,TVS,NTorq 125,"$106,209.00 ",2016,530,501-1000 cc,Petrol,52.93,First,2016,Expired,Individual,"$52,958.04 ",Tier 3
Delhi,67.94,High Usage,Yamaha,Ray ZR,"$323,622.00 ",2016,530,501-1000 cc,Petrol,55.28,Third,2022,Not Available,Individual,"$170,517.52 ",Tier 1
Karnataka,77.22,High Usage,Hero,Splendor Plus,"$211,399.00 ",2023,530,501-1000 cc,Petrol,56.83,Second,2023,Expired,Individual,"$95,030.83 ",Tier 2
Uttar Pradesh,32.44,Moderate Usage,Bajaj,Avenger 220,"$212,967.00 ",2017,530,501-1000 cc,Hybrid,63.17,Second,2021,Expired,Individual,"$168,372.08 ",Tier 3
Gujarat,35.98,Moderate Usage,Kawasaki,Vulcan S,"$65,856.00 ",2024,530,501-1000 cc,Electric,64.71,First,2024,Expired,Dealer,"$50,178.13 ",Tier 1
Delhi,58.41,High Usage,TVS,Sport,"$389,224.00 ",2017,530,501-1000 cc,Electric,68.19,First,2017,Active,Dealer,"$165,607.61 ",Tier 1
