State,Avg Daily Distance(Km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
Delhi,52.66,Honda,Dio,"$357,348.00 ",2020,487,Hybrid,97.13,Second,2024,Active,Individual,"$174,253.67 ",Tier 3
Tamil Nadu,70.35,Honda,Dio,"$238,394.00 ",2016,488,Petrol,31.74,First,2016,Expired,Individual,"$95,724.33 ",Metro
Karnataka,39.23,Kawasaki,Vulcan S,"$89,558.00 ",2015,488,Petrol,36.42,First,2015,Not Available,Dealer,"$68,580.21 ",Tier 3
Punjab,7.91,TVS,Sport,"$224,102.00 ",2024,488,Petrol,57.95,Third,2024,Active,Dealer,"$111,554.27 ",Tier 2
Rajasthan,58.62,Honda,Unicorn,"$399,730.00 ",2023,488,Hybrid,66.11,First,2023,Not Available,Dealer,"$231,471.38 ",Tier 3
Tamil Nadu,28.81,Hero,HF Deluxe,"$289,636.00 ",2016,488,Hybrid,74.71,First,2016,Not Available,Individual,"$210,187.74 ",Tier 3
Gujarat,40.93,KTM,250 Duke,"$243,950.00 ",2021,488,Hybrid,76.14,First,2021,Expired,Individual,"$174,942.68 ",Tier 3
Gujarat,42.96,Royal Enfield,Hunter 350,"$235,802.00 ",2023,488,Electric,84.31,First,2023,Active,Individual,"$164,663.79 ",Metro
Karnataka,17.82,Yamaha,FZ V3,"$92,044.00 ",2018,489,Petrol,35.35,Third,2024,Not Available,Dealer,"$41,708.60 ",Tier 1
Uttar Pradesh,73.54,Honda,Dio,"$283,241.00 ",2019,489,Petrol,42.7,Third,2023,Not Available,Individual,"$123,017.53 ",Metro
Delhi,65.49,Royal Enfield,Hunter 350,"$342,774.00 ",2018,489,Petrol,43.83,Second,2024,Active,Individual,"$200,197.27 ",Tier 3
Gujarat,50.9,Yamaha,R15 V4,"$64,862.00 ",2017,489,Petrol,48.44,First,2017,Active,Individual,"$50,797.66 ",Tier 2
Delhi,33.55,Yamaha,Ray ZR,"$393,210.00 ",2015,489,Petrol,51.14,First,2015,Not Available,Individual,"$280,842.48 ",Tier 2
Delhi,25.76,Royal Enfield,Interceptor 650,"$278,263.00 ",2021,489,Electric,66.41,Second,2021,Active,Individual,"$118,830.72 ",Tier 1
Tamil Nadu,48.22,Hero,Splendor Plus,"$320,381.00 ",2018,489,Electric,70.45,Third,2019,Active,Dealer,"$169,208.00 ",Tier 3
Maharashtra,24.41,KTM,Duke 200,"$321,835.00 ",2020,489,Hybrid,73.54,First,2020,Expired,Dealer,"$229,920.28 ",Tier 3
Punjab,72.3,Royal Enfield,Himalayan,"$235,727.00 ",2018,489,Hybrid,73.57,Second,2024,Expired,Dealer,"$131,607.93 ",Tier 3
Tamil Nadu,9.67,Honda,Activa,"$263,070.00 ",2021,489,Hybrid,77.63,Second,2021,Expired,Individual,"$115,377.03 ",Tier 2
Delhi,64.43,Honda,Dio,"$171,834.00 ",2022,489,Electric,82.67,Third,2024,Not Available,Individual,"$94,573.48 ",Metro
Karnataka,68.64,Honda,Unicorn,"$173,393.00 ",2016,489,Electric,84.94,Third,2017,Not Available,Individual,"$95,001.20 ",Tier 2
Maharashtra,77.19,Honda,Dio,"$101,640.00 ",2020,489,Hybrid,88.31,Second,2023,Not Available,Dealer,"$69,014.30 ",Tier 1
West Bengal,41.35,TVS,Ronin,"$372,262.00 ",2017,489,Hybrid,91.44,First,2017,Expired,Individual,"$260,773.15 ",Tier 3
Delhi,46.67,Hero,Xtreme 160R,"$121,494.00 ",2017,489,Hybrid,91.79,Third,2017,Not Available,Individual,"$96,822.51 ",Tier 1
West Bengal,13.01,Yamaha,Fascino 125,"$258,995.00 ",2022,489,Electric,97.13,First,2022,Not Available,Individual,"$124,352.71 ",Metro
Karnataka,10.18,Bajaj,Dominar 400,"$78,766.00 ",2024,489,Electric,98.72,First,2024,Not Available,Individual,"$48,533.93 ",Tier 2
Gujarat,16.89,Bajaj,Platina 110,"$314,409.00 ",2020,490,Petrol,32.69,Second,2022,Expired,Individual,"$152,029.42 ",Tier 1
Delhi,20.82,KTM,250 Duke,"$80,579.00 ",2024,490,Petrol,44.71,Second,2024,Active,Dealer,"$32,579.13 ",Tier 2
Gujarat,32.02,Kawasaki,Vulcan S,"$171,002.00 ",2019,490,Petrol,53.41,Third,2020,Expired,Dealer,"$94,360.30 ",Tier 2
West Bengal,5.48,Kawasaki,Ninja 400,"$220,642.00 ",2023,490,Petrol,55.8,Third,2023,Active,Individual,"$132,309.14 ",Tier 3
Delhi,72.01,KTM,390 Adventure,"$58,164.00 ",2016,490,Petrol,58.89,Second,2024,Expired,Dealer,"$40,534.67 ",Tier 2
Gujarat,57.9,Kawasaki,Z650,"$233,763.00 ",2023,490,Electric,65.1,Second,2024,Expired,Dealer,"$183,037.91 ",Tier 3
Delhi,6.93,Royal Enfield,Interceptor 650,"$238,406.00 ",2024,490,Electric,65.27,Third,2024,Active,Individual,"$148,924.98 ",Metro
Punjab,5.73,Yamaha,MT-15,"$223,837.00 ",2020,490,Electric,69.74,First,2020,Active,Dealer,"$90,700.63 ",Tier 1
West Bengal,42.5,Bajaj,Avenger 220,"$257,246.00 ",2021,490,Hybrid,69.87,Second,2024,Expired,Individual,"$111,338.60 ",Tier 1
Karnataka,14.75,Bajaj,Avenger 220,"$374,316.00 ",2018,490,Electric,72.76,Third,2024,Not Available,Individual,"$188,453.93 ",Tier 1
Karnataka,31.09,KTM,125 Duke,"$70,880.00 ",2020,490,Hybrid,76.72,First,2020,Not Available,Dealer,"$54,221.77 ",Tier 1
Rajasthan,62.81,Royal Enfield,Interceptor 650,"$78,499.00 ",2018,490,Hybrid,83.43,Second,2020,Active,Individual,"$44,423.12 ",Tier 1
West Bengal,63.87,Kawasaki,Z650,"$195,824.00 ",2016,490,Electric,83.43,Third,2021,Expired,Dealer,"$140,257.89 ",Tier 3
Rajasthan,8.15,TVS,NTorq 125,"$138,666.00 ",2015,490,Electric,87.01,Third,2021,Active,Dealer,"$104,991.97 ",Metro
Gujarat,15.15,KTM,Duke 200,"$86,521.00 ",2021,490,Hybrid,89.81,Third,2024,Expired,Individual,"$49,785.95 ",Metro
West Bengal,79.37,Kawasaki,Vulcan S,"$339,767.00 ",2017,490,Hybrid,97.21,First,2017,Expired,Individual,"$230,422.04 ",Metro
Gujarat,60.14,Bajaj,Pulsar 150,"$201,075.00 ",2019,491,Petrol,32.17,Third,2022,Not Available,Dealer,"$149,756.83 ",Tier 2
Madhya Pradesh,40.7,Yamaha,Ray ZR,"$191,189.00 ",2019,491,Petrol,44.6,Third,2020,Not Available,Dealer,"$122,163.09 ",Tier 1
Tamil Nadu,28.82,Yamaha,Ray ZR,"$172,093.00 ",2015,491,Electric,65.07,Second,2023,Active,Individual,"$97,258.49 ",Tier 1
Gujarat,77.71,Kawasaki,Ninja 300,"$75,155.00 ",2023,491,Hybrid,65.4,Third,2024,Active,Individual,"$45,821.22 ",Tier 1
Karnataka,49.48,Honda,Shine,"$92,527.00 ",2024,491,Hybrid,72.14,First,2024,Active,Individual,"$52,249.09 ",Metro
Uttar Pradesh,43.06,TVS,Apache RTR 160,"$56,090.00 ",2022,491,Hybrid,85.95,First,2022,Expired,Dealer,"$39,218.96 ",Tier 1
Uttar Pradesh,65.78,Hero,Xtreme 160R,"$367,822.00 ",2015,491,Electric,89.96,Third,2019,Active,Dealer,"$252,220.80 ",Tier 2
Rajasthan,32.22,KTM,Duke 200,"$363,794.00 ",2017,491,Hybrid,91.26,First,2017,Not Available,Dealer,"$208,851.67 ",Tier 3
Gujarat,9.71,Royal Enfield,Interceptor 650,"$300,726.00 ",2023,491,Electric,92.72,Second,2024,Not Available,Dealer,"$153,286.22 ",Metro
Rajasthan,61.83,Royal Enfield,Himalayan,"$172,755.00 ",2017,491,Electric,96.89,First,2017,Not Available,Individual,"$126,795.27 ",Tier 3
West Bengal,48.22,Royal Enfield,Classic 350,"$180,208.00 ",2023,492,Petrol,28.52,Second,2023,Active,Individual,"$121,242.31 ",Tier 1
Rajasthan,55.23,KTM,Duke 200,"$312,560.00 ",2023,492,Petrol,32.86,Third,2024,Active,Dealer,"$126,895.90 ",Tier 3
Karnataka,20.53,Bajaj,Platina 110,"$66,924.00 ",2022,492,Petrol,37.48,Third,2024,Expired,Dealer,"$28,809.11 ",Metro
Maharashtra,13.03,TVS,Ronin,"$358,579.00 ",2023,492,Hybrid,60.5,Second,2024,Active,Dealer,"$269,214.15 ",Tier 2
Rajasthan,61.74,Kawasaki,Ninja 400,"$373,134.00 ",2019,492,Hybrid,71.6,First,2019,Active,Dealer,"$162,936.10 ",Tier 1
Maharashtra,34.87,Bajaj,Dominar 400,"$279,704.00 ",2022,492,Hybrid,72.17,Third,2024,Not Available,Individual,"$178,192.45 ",Tier 2
Delhi,49.74,Honda,CBR 650R,"$112,323.00 ",2015,492,Electric,76.18,Second,2021,Active,Dealer,"$76,592.53 ",Tier 1
Rajasthan,53.39,KTM,390 Adventure,"$365,570.00 ",2023,492,Hybrid,85.3,Second,2023,Active,Individual,"$200,681.47 ",Tier 1
Delhi,30.13,Yamaha,R15 V4,"$90,045.00 ",2020,492,Hybrid,95.66,First,2020,Expired,Individual,"$53,388.77 ",Metro
Rajasthan,58.32,Yamaha,FZ V3,"$272,011.00 ",2019,493,Petrol,32.17,Second,2023,Active,Individual,"$115,266.16 ",Tier 3
Punjab,71.74,KTM,Duke 200,"$271,209.00 ",2016,493,Petrol,39.95,Third,2018,Expired,Dealer,"$152,345.24 ",Tier 3
Punjab,62.5,Bajaj,Pulsar 150,"$337,399.00 ",2022,493,Petrol,50.22,First,2022,Active,Dealer,"$208,468.80 ",Metro
Karnataka,77.07,Hero,Splendor Plus,"$108,497.00 ",2021,493,Petrol,55.62,Second,2024,Not Available,Dealer,"$64,722.23 ",Tier 1
West Bengal,6.54,KTM,RC 390,"$331,413.00 ",2024,493,Hybrid,67.65,Third,2024,Active,Dealer,"$138,481.39 ",Tier 1
Uttar Pradesh,33.24,Honda,Dio,"$351,708.00 ",2020,493,Hybrid,81.87,Second,2024,Expired,Individual,"$194,733.53 ",Tier 2
Rajasthan,35.84,TVS,NTorq 125,"$329,447.00 ",2022,493,Hybrid,83.1,Third,2023,Active,Dealer,"$187,838.37 ",Tier 2
West Bengal,25.41,TVS,Sport,"$66,587.00 ",2021,493,Electric,91.07,Third,2023,Active,Individual,"$35,913.80 ",Tier 3
Madhya Pradesh,19.81,Hero,HF Deluxe,"$244,425.00 ",2017,493,Electric,95.78,Third,2022,Not Available,Individual,"$184,807.23 ",Tier 1
Gujarat,50.23,Honda,Shine,"$151,864.00 ",2018,494,Petrol,30.94,Second,2018,Not Available,Individual,"$80,720.71 ",Metro
Karnataka,22.9,Yamaha,Fascino 125,"$333,768.00 ",2021,494,Petrol,34.45,First,2021,Active,Dealer,"$149,788.37 ",Tier 1
Punjab,56.05,KTM,250 Duke,"$153,025.00 ",2017,494,Petrol,59.66,Second,2024,Active,Dealer,"$64,655.82 ",Metro
Rajasthan,37.91,KTM,250 Duke,"$192,603.00 ",2015,494,Hybrid,65.14,Third,2024,Active,Individual,"$80,614.82 ",Tier 2
Tamil Nadu,50.74,Honda,Shine,"$357,669.00 ",2024,494,Electric,82.05,Second,2024,Not Available,Dealer,"$281,826.69 ",Metro
Karnataka,74.13,Bajaj,CT 100,"$228,463.00 ",2024,494,Hybrid,89.72,Second,2024,Active,Dealer,"$138,048.79 ",Tier 1
Maharashtra,36.06,KTM,Duke 200,"$110,805.00 ",2020,495,Petrol,40.17,First,2020,Active,Dealer,"$65,940.99 ",Tier 1
Punjab,45.39,Yamaha,Ray ZR,"$136,228.00 ",2021,495,Petrol,41.25,Third,2023,Active,Dealer,"$93,033.20 ",Tier 1
Maharashtra,12.41,Bajaj,CT 100,"$218,135.00 ",2017,495,Petrol,58.84,First,2017,Expired,Dealer,"$144,779.50 ",Tier 2
Rajasthan,45.76,Yamaha,R15 V4,"$146,420.00 ",2015,495,Hybrid,75.55,First,2015,Not Available,Dealer,"$64,126.43 ",Tier 3
Rajasthan,42.32,Bajaj,Pulsar 150,"$185,000.00 ",2021,495,Electric,83.94,Third,2022,Not Available,Individual,"$80,810.09 ",Tier 3
Delhi,75.35,TVS,Ronin,"$169,295.00 ",2024,495,Hybrid,86.52,Second,2024,Active,Dealer,"$111,197.11 ",Metro
Maharashtra,76.44,KTM,250 Duke,"$160,203.00 ",2016,495,Hybrid,91.63,Second,2016,Active,Dealer,"$65,942.91 ",Tier 2
Madhya Pradesh,18.19,Bajaj,Pulsar 150,"$277,331.00 ",2018,496,Petrol,35.04,First,2018,Active,Dealer,"$198,909.52 ",Tier 2
West Bengal,70.8,Yamaha,R15 V4,"$114,538.00 ",2016,496,Petrol,41.56,First,2016,Active,Individual,"$51,127.13 ",Tier 1
Tamil Nadu,21.92,TVS,Ronin,"$389,298.00 ",2016,496,Petrol,59.62,First,2016,Expired,Individual,"$209,906.78 ",Tier 1
West Bengal,31.73,Royal Enfield,Himalayan,"$357,858.00 ",2024,496,Electric,71.78,First,2024,Not Available,Dealer,"$170,546.85 ",Tier 1
Rajasthan,22.67,TVS,Ronin,"$315,163.00 ",2015,496,Electric,94.76,Third,2023,Not Available,Individual,"$176,118.43 ",Tier 2
Uttar Pradesh,68.37,Yamaha,Fascino 125,"$151,506.00 ",2021,497,Petrol,34.12,First,2021,Not Available,Individual,"$109,657.87 ",Metro
Tamil Nadu,77.06,Hero,HF Deluxe,"$324,844.00 ",2023,497,Petrol,36.61,Second,2024,Not Available,Dealer,"$163,710.98 ",Tier 3
Rajasthan,75.57,Bajaj,Dominar 400,"$127,668.00 ",2021,497,Hybrid,67,Second,2021,Not Available,Dealer,"$96,913.52 ",Tier 1
Madhya Pradesh,50.39,TVS,Jupiter,"$298,601.00 ",2021,497,Electric,96.13,First,2021,Expired,Dealer,"$162,021.70 ",Tier 1
Tamil Nadu,5.72,Kawasaki,Ninja 400,"$387,258.00 ",2023,498,Petrol,44.19,Second,2024,Active,Dealer,"$176,066.02 ",Tier 3
Tamil Nadu,72.71,Honda,Unicorn,"$171,473.00 ",2023,498,Petrol,53.93,First,2023,Active,Individual,"$124,503.64 ",Metro
Rajasthan,5.89,TVS,NTorq 125,"$197,267.00 ",2023,498,Hybrid,61.92,Second,2024,Active,Dealer,"$129,454.05 ",Tier 2
Gujarat,22.57,Honda,Dio,"$70,947.00 ",2022,498,Hybrid,62.68,Third,2022,Expired,Dealer,"$48,073.78 ",Tier 3
Uttar Pradesh,43.66,Honda,Dio,"$388,527.00 ",2019,498,Hybrid,67.08,Third,2021,Not Available,Individual,"$282,122.01 ",Tier 3
Rajasthan,9.89,Hero,Passion Pro,"$379,176.00 ",2015,498,Hybrid,67.56,Second,2022,Active,Dealer,"$165,354.59 ",Tier 1
Gujarat,13.28,Hero,Xtreme 160R,"$293,205.00 ",2024,498,Hybrid,72.89,First,2024,Not Available,Dealer,"$190,259.65 ",Tier 1
Karnataka,18.82,Bajaj,CT 100,"$376,605.00 ",2017,498,Electric,74.32,Third,2022,Expired,Dealer,"$247,209.78 ",Tier 3
Punjab,27.57,Hero,Splendor Plus,"$367,868.00 ",2020,498,Hybrid,93.73,First,2020,Not Available,Individual,"$223,905.36 ",Tier 1
Madhya Pradesh,33.06,Royal Enfield,Hunter 350,"$90,510.00 ",2020,498,Hybrid,97.32,First,2020,Active,Dealer,"$46,576.83 ",Tier 2
Karnataka,50.88,Kawasaki,Ninja 300,"$302,243.00 ",2017,499,Petrol,46.11,Third,2020,Active,Individual,"$199,592.92 ",Tier 2
Punjab,75.44,Bajaj,Platina 110,"$134,405.00 ",2018,499,Petrol,56.84,Third,2018,Active,Individual,"$90,022.71 ",Tier 3
Karnataka,57.49,Yamaha,Ray ZR,"$83,201.00 ",2023,499,Petrol,59.46,First,2023,Active,Dealer,"$64,544.63 ",Tier 3
Tamil Nadu,8.25,Kawasaki,Versys 650,"$235,700.00 ",2016,499,Hybrid,60.93,Second,2022,Active,Dealer,"$140,874.69 ",Tier 3
Maharashtra,29.46,Royal Enfield,Hunter 350,"$80,061.00 ",2023,499,Hybrid,71.4,Second,2023,Expired,Dealer,"$63,627.18 ",Tier 1
Punjab,75.81,Bajaj,Avenger 220,"$196,407.00 ",2020,499,Hybrid,72.65,Second,2024,Not Available,Individual,"$121,990.70 ",Tier 1
Gujarat,70.73,Kawasaki,Z650,"$170,476.00 ",2024,499,Electric,73.85,First,2024,Active,Dealer,"$69,028.20 ",Tier 3
Maharashtra,65.58,Honda,Dio,"$381,163.00 ",2021,499,Hybrid,74.47,Second,2022,Not Available,Individual,"$248,398.63 ",Tier 1
Delhi,69.42,Royal Enfield,Meteor 350,"$138,296.00 ",2022,499,Electric,77.89,First,2022,Expired,Individual,"$58,593.06 ",Tier 3
Delhi,13.94,TVS,NTorq 125,"$100,721.00 ",2022,499,Electric,82.11,Third,2024,Active,Individual,"$48,055.92 ",Metro
Punjab,31.68,Hero,HF Deluxe,"$268,001.00 ",2024,499,Hybrid,90.63,Second,2024,Expired,Dealer,"$120,349.23 ",Metro
Gujarat,32.03,Kawasaki,Versys 650,"$56,071.00 ",2024,499,Electric,92.92,First,2024,Expired,Individual,"$28,101.52 ",Tier 3
Karnataka,7.91,TVS,NTorq 125,"$372,552.00 ",2015,499,Electric,94.45,Third,2017,Active,Individual,"$203,042.45 ",Tier 2
Rajasthan,28.38,KTM,RC 390,"$308,109.00 ",2015,499,Hybrid,95.21,Third,2020,Not Available,Dealer,"$217,315.87 ",Tier 2
Rajasthan,51.33,KTM,Duke 200,"$326,062.00 ",2016,500,Petrol,38.91,Third,2016,Active,Individual,"$202,209.81 ",Tier 2
Maharashtra,60.73,Hero,Xtreme 160R,"$200,835.00 ",2016,500,Petrol,49.45,First,2016,Expired,Individual,"$137,882.04 ",Tier 3
Tamil Nadu,39.89,Royal Enfield,Meteor 350,"$70,075.00 ",2016,500,Petrol,52.99,Third,2024,Expired,Dealer,"$46,896.66 ",Tier 3
Madhya Pradesh,18.25,Honda,Shine,"$162,369.00 ",2022,500,Electric,64.18,Third,2023,Not Available,Individual,"$82,397.93 ",Tier 1
Karnataka,58.57,Royal Enfield,Meteor 350,"$204,201.00 ",2020,500,Hybrid,64.34,First,2020,Not Available,Individual,"$149,283.13 ",Tier 1
Delhi,77.46,Honda,Unicorn,"$323,946.00 ",2017,500,Electric,67,Third,2017,Active,Individual,"$203,731.26 ",Tier 3
Karnataka,21.86,Bajaj,Pulsar 150,"$120,123.00 ",2015,500,Electric,68.91,Second,2015,Active,Individual,"$76,765.72 ",Metro
Delhi,56.15,Hero,Passion Pro,"$181,203.00 ",2020,500,Hybrid,72.94,Third,2022,Not Available,Dealer,"$110,589.64 ",Metro
Tamil Nadu,7.46,Kawasaki,Ninja 300,"$221,463.00 ",2018,500,Electric,74.37,Second,2019,Expired,Individual,"$143,311.21 ",Tier 1
Gujarat,19.5,Honda,Dio,"$313,526.00 ",2021,500,Hybrid,78.59,First,2021,Expired,Dealer,"$156,374.61 ",Tier 3
Delhi,41.55,Royal Enfield,Meteor 350,"$258,372.00 ",2018,500,Hybrid,82.84,Second,2020,Expired,Individual,"$179,378.84 ",Tier 2
Gujarat,65.14,KTM,RC 390,"$240,166.00 ",2023,500,Electric,85.67,First,2023,Active,Dealer,"$171,465.79 ",Tier 2
Karnataka,19.46,Royal Enfield,Classic 350,"$213,271.00 ",2021,500,Electric,87.5,Third,2021,Expired,Individual,"$97,084.75 ",Tier 3
Punjab,55.98,Royal Enfield,Classic 350,"$318,060.00 ",2016,500,Electric,93.08,Third,2018,Expired,Individual,"$216,490.35 ",Metro
Tamil Nadu,28.17,Kawasaki,Vulcan S,"$214,371.00 ",2023,500,Electric,95.52,Second,2024,Active,Individual,"$87,261.72 ",Tier 3
Punjab,5.34,TVS,NTorq 125,"$244,728.00 ",2023,500,Electric,99.75,First,2023,Not Available,Individual,"$122,400.06 ",Metro
Uttar Pradesh,47.96,KTM,RC 390,"$54,699.00 ",2021,501,Petrol,35.71,Second,2024,Not Available,Individual,"$38,361.68 ",Tier 3
Uttar Pradesh,43.91,Hero,Passion Pro,"$327,113.00 ",2024,501,Petrol,43.86,Second,2024,Expired,Individual,"$223,830.21 ",Tier 1
Maharashtra,39.36,KTM,RC 390,"$238,428.00 ",2023,501,Petrol,58.19,Second,2023,Active,Individual,"$131,681.26 ",Tier 2
Delhi,62.15,Honda,Unicorn,"$229,915.00 ",2015,501,Hybrid,61.51,Second,2019,Not Available,Individual,"$108,372.77 ",Metro
Tamil Nadu,19.04,Honda,Unicorn,"$264,120.00 ",2022,501,Hybrid,64.26,First,2022,Expired,Dealer,"$112,672.63 ",Tier 3
Delhi,49.28,Hero,Splendor Plus,"$383,976.00 ",2019,501,Hybrid,66.28,Third,2023,Active,Dealer,"$196,513.76 ",Tier 3
Tamil Nadu,69.98,Royal Enfield,Hunter 350,"$216,113.00 ",2017,501,Electric,77.83,Second,2024,Expired,Individual,"$89,151.83 ",Tier 2
Gujarat,19.59,Royal Enfield,Himalayan,"$145,174.00 ",2023,501,Hybrid,89.2,Second,2024,Expired,Dealer,"$62,482.95 ",Tier 1
Uttar Pradesh,79.4,Hero,Glamour,"$174,807.00 ",2021,502,Petrol,53.48,First,2021,Not Available,Dealer,"$133,429.95 ",Tier 3
Punjab,17.28,Bajaj,Avenger 220,"$286,039.00 ",2023,502,Electric,60.62,Third,2023,Not Available,Dealer,"$135,541.11 ",Tier 2
Delhi,44.35,Honda,Shine,"$180,010.00 ",2018,502,Hybrid,72.25,Third,2022,Expired,Dealer,"$131,131.64 ",Tier 2
Karnataka,25.2,KTM,125 Duke,"$393,871.00 ",2015,502,Hybrid,78.79,First,2015,Not Available,Individual,"$245,525.59 ",Tier 1
Karnataka,42.8,Bajaj,Avenger 220,"$296,808.00 ",2023,502,Electric,81.23,Second,2023,Expired,Dealer,"$200,094.11 ",Tier 3
Punjab,29.77,Bajaj,CT 100,"$100,644.00 ",2021,502,Hybrid,82.34,First,2021,Not Available,Dealer,"$42,042.10 ",Metro
West Bengal,45.63,Hero,Glamour,"$355,388.00 ",2015,502,Electric,87.68,First,2015,Not Available,Individual,"$245,623.66 ",Tier 3
Punjab,78.16,KTM,RC 390,"$398,060.00 ",2016,502,Electric,90.68,First,2016,Expired,Individual,"$232,955.22 ",Tier 3
Delhi,52.42,Kawasaki,Z650,"$138,192.00 ",2015,502,Hybrid,94.11,Second,2019,Not Available,Individual,"$87,501.66 ",Tier 2
Maharashtra,22.07,TVS,Apache RTR 160,"$209,473.00 ",2023,502,Hybrid,97.4,Second,2024,Expired,Dealer,"$148,933.22 ",Tier 3
Gujarat,62.4,Royal Enfield,Meteor 350,"$232,576.00 ",2016,503,Petrol,42.39,First,2016,Active,Dealer,"$154,606.56 ",Metro
West Bengal,73.52,Royal Enfield,Interceptor 650,"$139,347.00 ",2016,503,Hybrid,60.03,Third,2019,Not Available,Individual,"$96,100.54 ",Tier 1
Tamil Nadu,36.12,TVS,Apache RTR 160,"$129,341.00 ",2022,503,Electric,62.6,First,2022,Not Available,Dealer,"$58,766.71 ",Tier 3
West Bengal,33.11,Bajaj,Avenger 220,"$250,603.00 ",2021,503,Electric,64.6,Third,2023,Expired,Individual,"$193,007.47 ",Metro
Punjab,5.12,Hero,Splendor Plus,"$300,833.00 ",2015,503,Electric,71.48,First,2015,Expired,Individual,"$224,881.65 ",Tier 3
Punjab,36.63,TVS,Sport,"$111,613.00 ",2023,503,Hybrid,73.1,Third,2024,Active,Dealer,"$64,848.08 ",Tier 2
Madhya Pradesh,58.97,Kawasaki,Versys 650,"$328,983.00 ",2015,503,Electric,77.53,Second,2021,Active,Individual,"$153,627.20 ",Metro
Tamil Nadu,5.82,Honda,Shine,"$179,878.00 ",2015,503,Hybrid,79.11,First,2015,Expired,Individual,"$90,574.34 ",Tier 3
Madhya Pradesh,27.03,TVS,Sport,"$129,726.00 ",2024,503,Electric,96.5,Third,2024,Active,Individual,"$91,806.33 ",Tier 3
West Bengal,62.14,Kawasaki,Ninja 300,"$381,227.00 ",2017,504,Petrol,25.17,First,2017,Expired,Dealer,"$290,055.40 ",Tier 2
Delhi,21.91,Kawasaki,Vulcan S,"$176,803.00 ",2020,504,Petrol,39.73,First,2020,Expired,Individual,"$130,785.94 ",Tier 3
Delhi,13.59,TVS,Ronin,"$91,772.00 ",2016,504,Electric,65.03,Third,2024,Active,Dealer,"$55,227.17 ",Metro
Karnataka,13.56,Royal Enfield,Classic 350,"$397,512.00 ",2023,504,Electric,76.51,First,2023,Not Available,Individual,"$196,229.33 ",Tier 3
West Bengal,34.42,Hero,HF Deluxe,"$83,150.00 ",2022,504,Electric,82.12,Second,2024,Active,Dealer,"$63,134.41 ",Tier 3
Maharashtra,34.33,Bajaj,Pulsar 150,"$308,461.00 ",2019,504,Hybrid,82.27,Second,2024,Active,Individual,"$137,073.93 ",Tier 3
Karnataka,69.97,Honda,Shine,"$391,694.00 ",2017,504,Hybrid,93.51,Second,2022,Expired,Dealer,"$181,590.39 ",Tier 2
Delhi,30.88,Yamaha,R15 V4,"$150,889.00 ",2019,505,Petrol,37.44,Third,2023,Expired,Individual,"$102,931.19 ",Metro
Maharashtra,63.78,Hero,Splendor Plus,"$253,802.00 ",2016,505,Petrol,38.68,Third,2022,Expired,Individual,"$190,980.75 ",Tier 1
Maharashtra,25.62,Hero,HF Deluxe,"$131,009.00 ",2016,505,Petrol,53.45,Second,2019,Expired,Individual,"$99,690.76 ",Tier 2
Uttar Pradesh,5.81,KTM,250 Duke,"$167,988.00 ",2019,505,Petrol,53.97,First,2019,Active,Dealer,"$120,362.96 ",Metro
Madhya Pradesh,14.86,Bajaj,Dominar 400,"$222,360.00 ",2020,505,Petrol,56.43,Second,2024,Active,Dealer,"$153,779.34 ",Tier 3
Punjab,20.9,Yamaha,R15 V4,"$147,141.00 ",2024,505,Electric,62.34,First,2024,Not Available,Individual,"$92,024.55 ",Tier 2
Tamil Nadu,6.87,TVS,Ronin,"$125,872.00 ",2020,505,Electric,72.31,Second,2024,Active,Individual,"$68,009.80 ",Metro
Gujarat,11.53,Yamaha,FZ V3,"$354,820.00 ",2022,505,Hybrid,82.89,Second,2024,Expired,Dealer,"$201,246.41 ",Metro
West Bengal,25.67,Hero,HF Deluxe,"$146,741.00 ",2015,505,Hybrid,83.15,Third,2015,Expired,Dealer,"$113,120.97 ",Tier 2
Delhi,58.05,Hero,Glamour,"$63,775.00 ",2018,505,Electric,94.53,Second,2024,Active,Individual,"$26,801.24 ",Tier 2
Maharashtra,62.88,KTM,250 Duke,"$141,300.00 ",2019,506,Petrol,25.08,First,2019,Not Available,Individual,"$57,047.54 ",Tier 3
Maharashtra,31,Royal Enfield,Meteor 350,"$144,741.00 ",2023,506,Petrol,25.81,Third,2024,Active,Dealer,"$67,374.69 ",Tier 1
Gujarat,21.74,Honda,Activa,"$327,141.00 ",2017,506,Petrol,40.87,First,2017,Active,Individual,"$204,538.69 ",Metro
Karnataka,35.25,Royal Enfield,Meteor 350,"$328,973.00 ",2019,506,Petrol,58.85,Second,2020,Active,Dealer,"$230,800.85 ",Metro
Gujarat,50.26,KTM,390 Adventure,"$132,956.00 ",2024,506,Petrol,59.8,First,2024,Active,Individual,"$65,438.73 ",Tier 1
Tamil Nadu,63.23,Kawasaki,Ninja 400,"$281,519.00 ",2019,506,Electric,60.61,Third,2019,Expired,Individual,"$171,807.84 ",Tier 2
Rajasthan,46.53,KTM,Duke 200,"$380,020.00 ",2017,506,Electric,61.78,Second,2023,Active,Dealer,"$288,191.51 ",Metro
